"city","state","abbr"
"Provo","Utah","UT"
"Chandler","Arizona","AZ"
"Gilbert","Arizona","AZ"
"Glendale","Arizona","AZ"
"Mesa","Arizona","AZ"
"Phoenix","Arizona","AZ"
"Scottsdale","Arizona","AZ"
"Tempe","Arizona","AZ"
"Tucson","Arizona","AZ"
"Anaheim","California","CA"
"Antioch","California","CA"
"Bakersfield","California","CA"
"Berkeley","California","CA"
"Burbank","California","CA"
"Carlsbad","California","CA"
"Chula Vista","California","CA"
"Concord","California","CA"
"Corona","California","CA"
"Costa Mesa","California","CA"
"Downey","California","CA"
"El Cajon","California","CA"
"El Monte","California","CA"
"Escondido","California","CA"
"Fairfield","California","CA"
"Fremont","California","CA"
"Fresno","California","CA"
"Fullerton","California","CA"
"Garden Grove","California","CA"
"Glendale","California","CA"
"Huntington Beach","California","CA"
"Irvine","California","CA"
"Lancaster","California","CA"
"Long Beach","California","CA"
"Los Angeles","California","CA"
"Modesto","California","CA"
"Moreno Valley","California","CA"
"Norwalk","California","CA"
"Oakland","California","CA"
"Oceanside","California","CA"
"Oxnard","California","CA"
"Palmdale","California","CA"
"Pasadena","California","CA"
"Pomona","California","CA"
"Rialto","California","CA"
"Richmond","California","CA"
"Riverside","California","CA"
"Roseville","California","CA"
"Sacramento","California","CA"
"Salinas","California","CA"
"San Bernardino","California","CA"
"San Diego","California","CA"
"San Francisco","California","CA"
"San Jose","California","CA"
"San Mateo","California","CA"
"Santa Ana","California","CA"
"Santa Clara","California","CA"
"Santa Clarita","California","CA"
"Santa Rosa","California","CA"
"Simi Valley","California","CA"
"Stockton","California","CA"
"Sunnyvale","California","CA"
"Temecula","California","CA"
"Thousand Oaks","California","CA"
"Torrance","California","CA"
"Vallejo","California","CA"
"Ventura","California","CA"
"Victorville","California","CA"
"Visalia","California","CA"
"Akron","Ohio","OH"
"West Covina","California","CA"
"Arvada","Colorado","CO"
"Aurora","Colorado","CO"
"Boulder","Colorado","CO"
"Colorado Springs","Colorado","CO"
"Denver","Colorado","CO"
"Lakewood","Colorado","CO"
"Westminster","Colorado","CO"
"Bridgeport","Connecticut","CT"
"Hartford","Connecticut","CT"
"New Haven","Connecticut","CT"
"Washington","District Of Columbia","DC"
"Cape Coral","Florida","FL"
"Clearwater","Florida","FL"
"Fort Lauderdale","Florida","FL"
"Gainesville","Florida","FL"
"Hialeah","Florida","FL"
"Hollywood","Florida","FL"
"Jacksonville","Florida","FL"
"Miramar","Florida","FL"
"Orlando","Florida","FL"
"Pembroke Pines","Florida","FL"
"Port St Lucie","Florida","FL"
"St Petersburg","Florida","FL"
"Tampa","Florida","FL"
"Atlanta","Georgia","GA"
