County,Precinct,Year
013,37-700,2010
013,37-712,2010
013,37-720,2010
013,37-732,2010
013,37-734,2010
016,37-704,2010
016,37-706,2010
016,37-738,2010
016,37-740,2010
020,16-145,2010
020,16-160,2010
020,16-165,2010
020,17-200,2010
020,17-205,2010
020,17-210,2010
020,17-215,2010
020,17-220,2010
020,17-225,2010
020,17-230,2010
020,18-235,2010
020,18-240,2010
020,18-245,2010
020,18-250,2010
020,18-255,2010
020,19-300,2010
020,19-305,2010
020,19-310,2010
020,19-315,2010
020,19-320,2010
020,19-325,2010
020,19-330,2010
020,20-335,2010
020,20-340,2010
020,20-345,2010
020,20-350,2010
020,20-355,2010
020,21-400,2010
020,21-405,2010
020,21-410,2010
020,21-415,2010
020,21-420,2010
020,21-425,2010
020,22-430,2010
020,22-435,2010
020,22-440,2010
020,22-445,2010
020,22-450,2010
020,22-455,2010
020,22-460,2010
020,22-465,2010
020,23-500,2010
020,23-505,2010
020,23-510,2010
020,23-515,2010
020,23-520,2010
020,23-525,2010
020,23-530,2010
020,23-535,2010
020,23-540,2010
020,24-545,2010
020,24-550,2010
020,24-555,2010
020,24-560,2010
020,24-565,2010
020,24-570,2010
020,24-575,2010
020,25-600,2010
020,25-605,2010
020,25-610,2010
020,25-615,2010
020,25-620,2010
020,25-625,2010
020,25-630,2010
020,25-635,2010
020,25-640,2010
020,26-645,2010
020,26-650,2010
020,26-655,2010
020,26-660,2010
020,26-665,2010
020,26-670,2010
020,26-675,2010
020,26-680,2010
020,26-685,2010
020,27-700,2010
020,27-705,2010
020,27-710,2010
020,27-715,2010
020,27-720,2010
020,27-725,2010
020,28-730,2010
020,28-735,2010
020,28-740,2010
020,28-745,2010
020,28-750,2010
020,28-755,2010
020,29-800,2010
020,29-805,2010
020,29-810,2010
020,29-815,2010
020,29-820,2010
020,29-825,2010
020,29-830,2010
020,30-835,2010
020,30-840,2010
020,30-845,2010
020,30-850,2010
020,30-855,2010
020,30-860,2010
020,30-865,2010
020,31-900,2010
020,31-905,2010
020,31-910,2010
020,31-915,2010
020,31-920,2010
020,31-925,2010
020,31-930,2010
020,31-935,2010
020,32-940,2010
020,32-945,2010
020,32-950,2010
020,32-955,2010
020,32-960,2010
020,32-965,2010
020,32-970,2010
020,32-980,2010
020,32-985,2010
020,32-990,2010
050,06-510,2010
050,06-540,2010
050,06-545,2010
050,06-610,2010
050,06-665,2010
050,38-800,2010
050,38-802,2010
050,38-804,2010
050,38-806,2010
050,38-808,2010
050,38-810,2010
