County,MedianHouseholdIncome,TotalPopulation,Male,Female,Age0_4,Age5_9,Age10_14,Age15_19,Age20_24,Age25_34,Age35_44,Age45_54,Age55_59,Age60_64,Age65_74,Age75_84,Age85,MedianAge,WhiteAlone,BlackAlone,AmericanIndianAlaskaNativeAlone,AsianAlone,NativeHawaiianPacificIslanderAlone,OtherRaceAlone,WhiteBlack,WhiteAmericanIndianAlaskaNative,WhiteAsian,BlackAmericanIndianAlaskaNative,White,Black,AmericanIndianAlaskaNative,Asian,NativeHawaiianPacificIslander,OtherRace,Hispanic,SimpsonDiversityIndex,Population25Plus,EdK8,Ed9_12,EdHS,EdCollNoDegree,EdAssocDegree,EdBachelorDegree,EdGraduateDegree,MedianHousingCosts,Married,Widowed,Divorced,Separated,NeverMarried,Uninsured,ForeignBorn,NonCitizen,Disability,MfgEmp1970,MfgEmp1980,MfgEmp1990,MfgEmp2001,MfgEmp2015,TotalEmp1970,TotalEmp1980,TotalEmp1990,TotalEmp2001,TotalEmp2015,WoodardAmericanNation,LandAreaSqMiles,Employment,LaborForce,Unemployment,TotalSSI,AgedSSI,BlindDisabledSSI,OASDI,SSIPayments,NCHS_UrbanRural2013,NCHS_UrbanRural2006,NCHS_UrbanRural1990,TotalReligiousAdherents,EvangelicalAdherents,CatholicAdherents,MormonAdherents,State,FoundryCounty,MexicanBorderCounty
01001,51281,55221,26745,28476,3242,3890,4314,4034,3422,6724,7716,8173,3530,2698,4560,2311,607,37.7,42741,10315,230,534,24,511,263,224,163,15,43492,10593,489,777,151,585,1440,0.36264083637178013,36319,1394,3262,12182,8203,2841,4897,3540,881,23989,2539,5472,832,10944,5508,861,474,9400,1607,2763,2343,2078,1536,6853,11255,11400,16215,17182,Deep South,594.4463647073634,24762.0,26177.0,1415.0,1497,71,1426,529,825000,Medium metro,Medium metro,Medium metro,36938,27503,1766,820,01,FALSE,FALSE
01003,50254,195121,95314,99807,10494,12787,12868,11793,10178,22740,24627,27202,13043,14013,21054,10422,3900,42.2,168646,18735,1166,1307,0,1870,847,1346,362,36,171423,19682,2573,2244,24,2627,8776,0.2444623502436465,137001,4385,9975,39431,31080,12420,26388,13322,879,85527,11764,20348,3656,37676,24987,6864,4088,26550,3291,4019,5571,5725,4606,19749,27777,40545,70659,103690,Deep South,1589.8080795997969,85594.0,90591.0,4997.0,3510,196,3314,1295,1870000,Small metro,Micropolitan (nonmetropolitan),Medium metro,96918,57986,14009,1022,01,FALSE,FALSE
01005,32964,26932,14497,12435,1476,1752,1570,1493,1833,3870,3360,3783,1848,1622,2616,1291,418,38.8,12756,12595,52,244,0,928,91,99,44,48,13055,12809,264,293,0,933,1241,0.5515757646293886,18808,1732,3289,6490,3593,1350,1412,942,556,9186,1793,3077,708,7371,3732,683,454,5526,2044,2465,3679,4809,2253,9448,9724,12099,15239,12074,Deep South,884.8761403845301,7839.0,8572.0,733.0,1507,110,1397,606,787000,Noncore (nonmetropolitan),Micropolitan (nonmetropolitan),"With a city of 10,000 or more (nonmetropolitan)",15101,8793,575,265,01,FALSE,FALSE
01007,38678,22604,12073,10531,1133,1458,1420,1603,1361,3086,3445,3131,1351,1361,1986,997,272,38.9,17327,4846,93,21,0,7,227,58,0,11,17612,5098,162,35,0,7,502,0.3596823690761123,15629,1086,1938,6574,3413,954,946,718,617,9111,1506,2287,502,5187,2007,220,167,3008,1696,1564,1703,599,394,3965,4262,5531,5736,6383,Deep South,622.5826112775859,8161.0,8747.0,586.0,1002,34,968,423,509000,Large fringe metro,Large fringe metro,"Without a city of 10,00 or more (nonmetropolitan)",11430,10159,NA,NA,01,FALSE,FALSE
01009,45813,57710,28512,29198,3545,3773,3921,3923,3140,6768,7445,8246,3740,3697,5804,2869,839,40.7,54881,884,326,83,0,555,331,480,110,0,55836,1231,810,231,26,577,4980,0.09479720039381079,39408,2745,5727,13179,8827,3850,3396,1684,641,27418,3718,5298,790,9248,6659,2393,1802,9291,1563,1840,2532,2549,1329,7587,9467,11751,14971,14519,Greater Appalachia,644.8067735579081,23871.0,25262.0,1391.0,1333,65,1268,517,687000,Large fringe metro,Large fringe metro,Medium metro,37352,29223,4744,291,01,FALSE,FALSE
01011,31938,10678,5660,5018,675,660,575,456,874,1321,1686,1421,593,859,944,437,177,39.3,2845,7550,124,22,0,0,0,117,0,20,2962,7570,261,22,0,0,473,0.43446853941878394,7438,882,1732,2478,1083,232,484,547,543,2534,728,1017,614,3867,1828,573,387,1885,861,1052,1023,NA,NA,4281,4084,4088,4204,4101,Deep South,622.8056150042746,4665.0,5058.0,393.0,600,35,565,193,336000,Noncore (nonmetropolitan),Noncore (nonmetropolitan),"Without a city of 10,00 or more (nonmetropolitan)",6300,2152,49,NA,01,FALSE,FALSE
01013,32229,20354,9502,10852,1243,1389,1314,1140,1272,2456,2353,2673,1422,1468,1954,1215,455,40.5,11023,8961,13,81,0,59,76,100,12,11,11211,9066,124,111,0,59,240,0.5086797265000761,13996,1064,2038,5274,2431,1157,1173,859,531,7121,1674,1985,443,5185,2459,144,45,4099,2973,3140,2555,1427,1355,8632,8896,8445,9202,9726,Deep South,776.8283670318849,8632.0,9275.0,643.0,1130,84,1046,453,592000,Noncore (nonmetropolitan),Noncore (nonmetropolitan),"Without a city of 10,00 or more (nonmetropolitan)",12278,8653,77,102,01,FALSE,FALSE
01015,41703,116648,56274,60374,6816,7538,7168,7780,8646,14763,14167,15887,8110,7706,10400,5777,1890,39.1,87615,23895,223,1000,0,1162,1181,896,136,44,90106,25386,1309,1377,121,1362,4075,0.38758505363205253,78700,4576,10445,25062,19265,5534,8437,5381,628,45851,7420,12937,2759,26160,13685,2958,1993,23041,12332,11138,11509,9487,6151,46650,57453,61400,59636,58328,Deep South,605.8890442767596,43743.0,46809.0,3066.0,4758,176,4582,1718,2556000,Small metro,Small metro,Small metro,84615,67564,3192,1149,01,FALSE,FALSE
01017,34177,34079,16258,17821,2040,1956,2058,2031,2180,3876,4171,4854,2790,2001,3499,1840,783,43.0,19652,13738,57,260,0,12,225,108,0,0,19985,13963,165,278,9,30,152,0.498516452623865,23814,1487,3532,9140,5051,1845,1800,959,627,12303,2718,4120,785,8071,4674,361,279,6366,9272,8378,7345,5293,1831,16255,16112,16643,15646,12413,Deep South,596.5313572927922,14835.0,15706.0,871.0,1529,117,1412,593,802000,Micropolitan (nonmetropolitan),Micropolitan (nonmetropolitan),"Without a city of 10,00 or more (nonmetropolitan)",22251,12903,249,237,01,FALSE,FALSE
01019,36296,26008,12975,13033,1285,1509,1554,1502,1424,2524,3059,3837,2004,2154,3234,1625,297,45.4,24167,1281,144,88,0,17,120,170,0,8,24457,1414,323,92,7,22,391,0.13317605881967054,18734,1451,2389,6828,4136,1352,1480,1098,588,13451,1516,2404,715,3552,2541,261,62,5741,742,1691,1494,1120,1070,4496,6058,6788,7369,8095,Greater Appalachia,553.7199290515189,10887.0,11501.0,614.0,901,45,856,329,469000,Noncore (nonmetropolitan),Noncore (nonmetropolitan),"Without a city of 10,00 or more (nonmetropolitan)",12455,10865,NA,NA,01,FALSE,FALSE
01021,41627,43819,21619,22200,2820,2821,3158,2742,2806,5404,6041,5843,2884,2758,3886,1958,698,38.8,36828,4528,158,126,0,1805,147,126,76,3,37188,4689,287,202,0,1827,3350,0.27886336734885164,29472,2391,3973,11562,5229,2166,2673,1478,616,19051,2591,4132,700,8580,6964,2333,1779,7342,1115,1425,1814,1365,2142,6686,8076,9858,12393,14555,Deep South,692.8537204341725,18624.0,19720.0,1096.0,1411,63,1348,525,754000,Large fringe metro,Large fringe metro,"Without a city of 10,00 or more (nonmetropolitan)",30488,26608,709,247,01,FALSE,FALSE
01023,33536,13395,6382,7013,662,697,916,824,762,1324,1542,1985,1026,944,1571,810,332,44.9,7487,5801,2,0,0,2,33,29,2,16,7574,5873,70,2,0,2,48,0.49751778332790464,9534,777,1473,3512,1937,709,701,425,440,5371,1112,1223,411,2991,1784,21,9,3296,2794,2874,3106,1830,NA,5564,6523,6916,5877,5255,Deep South,913.500355604668,4015.0,4405.0,390.0,833,77,756,337,441000,Noncore (nonmetropolitan),Noncore (nonmetropolitan),"Without a city of 10,00 or more (nonmetropolitan)",9721,6080,60,157,01,FALSE,FALSE
01025,32011,25070,11834,13236,1354,1386,1855,1747,1600,2683,3065,3641,1746,1602,2497,1397,497,41.1,13427,11346,7,90,0,24,30,4,0,36,13471,11412,47,90,96,34,85,0.5071760040156674,17128,813,2526,7515,2854,1203,1440,777,511,9316,1556,2088,962,6572,3759,121,68,3830,3565,3208,3276,2264,1783,9061,10291,11241,12607,12104,Deep South,1238.4648898581563,7148.0,8017.0,869.0,1462,92,1370,591,750000,Noncore (nonmetropolitan),Noncore (nonmetropolitan),"Without a city of 10,00 or more (nonmetropolitan)",20470,13634,11,95,01,FALSE,FALSE
01027,35327,13537,6671,6866,681,741,975,973,632,1285,1730,2054,896,1013,1439,855,263,43.8,11065,1963,105,0,0,192,139,51,0,0,11265,2102,156,12,0,214,430,0.30494932523104534,9535,1009,1368,3460,2004,780,552,362,487,5826,1014,1404,356,2540,1908,290,280,2386,1434,2102,2846,2635,1835,4153,5188,6191,6815,5793,Deep South,603.9612500965503,5434.0,5779.0,345.0,518,26,492,193,270000,Noncore (nonmetropolitan),Noncore (nonmetropolitan),"Without a city of 10,00 or more (nonmetropolitan)",10305,8899,186,NA,01,FALSE,FALSE
01029,38056,15002,7334,7668,883,948,1071,876,804,1637,1981,2171,1042,934,1575,776,304,41.3,14098,442,33,53,0,85,116,67,1,42,14347,643,185,54,0,107,345,0.12285425491763169,10420,680,1910,3988,2105,480,721,536,557,6861,1004,1512,363,2372,2030,231,154,2994,1239,1345,1192,1140,373,3383,3802,4004,4739,4151,Deep South,560.1044796035486,5692.0,6076.0,384.0,530,34,496,185,292000,Noncore (nonmetropolitan),Noncore (nonmetropolitan),"Without a city of 10,00 or more (nonmetropolitan)",11463,10435,NA,NA,01,FALSE,FALSE
01031,46729,50884,25174,25710,3207,3187,3582,3348,3096,6494,6882,6960,3342,2938,4416,2651,781,38.8,39067,8829,475,627,0,398,364,561,362,64,40435,9344,1143,1059,21,426,3276,0.3724624621745617,34464,1901,3390,10151,7542,3257,5250,2973,668,20863,3027,5195,982,10800,5674,2115,1259,8588,3033,4034,4570,2985,3584,11946,14831,17578,19033,21883,Deep South,678.9859312735864,19614.0,20865.0,1251.0,1461,80,1381,584,784000,Micropolitan (nonmetropolitan),Micropolitan (nonmetropolitan),"With a city of 10,000 or more (nonmetropolitan)",33021,25889,1550,805,01,FALSE,FALSE
