year,month,state_fips,state,district,total_votes,D,G,L,O,R,dPct,rPct,oPct
1980,11,01,AL,1,117219,0,0,0,6130,111089,0,0.947704723636953,0.052295276363047
1980,11,01,AL,2,172962,63447,0,0,4719,104796,0.366826239289555,0.605890311166615,0.0272834495438304
1980,11,01,AL,3,-992,-992,0,0,0,0,1,0,0
1980,11,01,AL,4,132086,129365,0,0,2721,0,0.979399784988568,0,0.0206002150114319
1980,11,01,AL,5,124967,117626,0,0,7341,0,0.941256491713812,0,0.0587435082861876
1980,11,01,AL,6,187982,87536,0,0,5427,95019,0.465661605898437,0.505468608696577,0.0288697854049856
1980,11,01,AL,7,168804,122505,0,0,2979,43320,0.725723324091846,0.256628989834364,0.0176476860737897
1980,11,02,AK,0,154618,39922,0,0,607,114089,0.258197622527778,0.737876573232095,0.00392580424012728
1980,11,04,AZ,1,186833,40045,0,7784,2043,136961,0.214335797209272,0.733066428307633,0.0525977744830945
1980,11,04,AZ,2,219686,127736,0,3297,0,88653,0.581448066786231,0.403544149376838,0.0150077838369309
1980,11,04,AZ,3,219822,141448,0,12529,0,65845,0.643466077098744,0.299537807862725,0.0569961150385312
1980,11,04,AZ,4,227611,85046,0,0,0,142565,0.373646264899324,0.626353735100676,0
1980,11,05,AR,1,-992,-992,0,0,0,0,1,0,0
1980,11,05,AR,2,201426,42278,0,0,0,159148,0.209893459632818,0.790106540367182,0
1980,11,05,AR,3,-992,0,0,0,0,-992,0,1,0
1980,11,05,AR,4,-992,-992,0,0,0,0,1,0,0
1980,11,06,CA,1,271075,107993,0,17497,0,145585,0.398387900027668,0.537065387807802,0.0645467121645301
1980,11,06,CA,2,261674,109789,0,6833,3354,141698,0.419564037695759,0.541505843148345,0.0389301191558963
1980,11,06,CA,3,241865,170670,0,6980,0,64215,0.705641576912741,0.265499348810287,0.0288590742769727
1980,11,06,CA,4,205055,133853,0,10267,0,60935,0.65276633098437,0.297164175465119,0.0500694935505108
1980,11,06,CA,5,197821,101105,0,7092,0,89624,0.511093362180962,0.453056045616997,0.0358505922020412
1980,11,06,CA,6,134650,93400,0,6750,0,34500,0.693650204233197,0.256219829186781,0.0501299665800223
1980,11,06,CA,7,224469,142044,0,6923,5023,70479,0.632800074843297,0.313980995148551,0.0532189300081526
1980,11,06,CA,8,195425,108380,0,10465,0,76580,0.554586158372777,0.391863886401433,0.05354995522579
