State,County,Year,Month,D,G,L,N,O,R,Total,dPct,rPct,leanD,leanR,unaffiliatedPct,otherPct,dDRPct,rDRPct,CountyName,StateName,StateAbbr
01,01001,2016,11,NA,NA,NA,34310,NA,NA,34310.0,NA,NA,NA,NA,1.0,NA,NA,NA,Autauga,Alabama,AL
01,01003,2016,11,NA,NA,NA,128743,NA,NA,128743.0,NA,NA,NA,NA,1.0,NA,NA,NA,Baldwin,Alabama,AL
01,01005,2016,11,NA,NA,NA,16218,NA,NA,16218.0,NA,NA,NA,NA,1.0,NA,NA,NA,Barbour,Alabama,AL
01,01007,2016,11,NA,NA,NA,12108,NA,NA,12108.0,NA,NA,NA,NA,1.0,NA,NA,NA,Bibb,Alabama,AL
01,01009,2016,11,NA,NA,NA,34276,NA,NA,34276.0,NA,NA,NA,NA,1.0,NA,NA,NA,Blount,Alabama,AL
01,01011,2016,11,NA,NA,NA,7258,NA,NA,7258.0,NA,NA,NA,NA,1.0,NA,NA,NA,Bullock,Alabama,AL
01,01013,2016,11,NA,NA,NA,13171,NA,NA,13171.0,NA,NA,NA,NA,1.0,NA,NA,NA,Butler,Alabama,AL
01,01015,2016,11,NA,NA,NA,67364,NA,NA,67364.0,NA,NA,NA,NA,1.0,NA,NA,NA,Calhoun,Alabama,AL
01,01017,2016,11,NA,NA,NA,22002,NA,NA,22002.0,NA,NA,NA,NA,1.0,NA,NA,NA,Chambers,Alabama,AL
01,01019,2016,11,NA,NA,NA,15090,NA,NA,15090.0,NA,NA,NA,NA,1.0,NA,NA,NA,Cherokee,Alabama,AL
01,01021,2016,11,NA,NA,NA,26552,NA,NA,26552.0,NA,NA,NA,NA,1.0,NA,NA,NA,Chilton,Alabama,AL
01,01023,2016,11,NA,NA,NA,10729,NA,NA,10729.0,NA,NA,NA,NA,1.0,NA,NA,NA,Choctaw,Alabama,AL
01,01025,2016,11,NA,NA,NA,18789,NA,NA,18789.0,NA,NA,NA,NA,1.0,NA,NA,NA,Clarke,Alabama,AL
01,01027,2016,11,NA,NA,NA,9697,NA,NA,9697.0,NA,NA,NA,NA,1.0,NA,NA,NA,Clay,Alabama,AL
01,01029,2016,11,NA,NA,NA,9917,NA,NA,9917.0,NA,NA,NA,NA,1.0,NA,NA,NA,Cleburne,Alabama,AL
01,01031,2016,11,NA,NA,NA,29875,NA,NA,29875.0,NA,NA,NA,NA,1.0,NA,NA,NA,Coffee,Alabama,AL
01,01033,2016,11,NA,NA,NA,34745,NA,NA,34745.0,NA,NA,NA,NA,1.0,NA,NA,NA,Colbert,Alabama,AL
01,01035,2016,11,NA,NA,NA,10047,NA,NA,10047.0,NA,NA,NA,NA,1.0,NA,NA,NA,Conecuh,Alabama,AL
01,01037,2016,11,NA,NA,NA,7824,NA,NA,7824.0,NA,NA,NA,NA,1.0,NA,NA,NA,Coosa,Alabama,AL
01,01039,2016,11,NA,NA,NA,22702,NA,NA,22702.0,NA,NA,NA,NA,1.0,NA,NA,NA,Covington,Alabama,AL
01,01041,2016,11,NA,NA,NA,9525,NA,NA,9525.0,NA,NA,NA,NA,1.0,NA,NA,NA,Crenshaw,Alabama,AL
01,01043,2016,11,NA,NA,NA,50684,NA,NA,50684.0,NA,NA,NA,NA,1.0,NA,NA,NA,Cullman,Alabama,AL
