County,obama,romney,johnson,stein,other,totalvotes,CountyName,StateName,StateAbbr,dPct,rPct,leanD,leanR,otherPct,dDRPct,rDRPct
13,180.0,214.0,9.0,4.0,5.0,412.0,None,Alaska,AK,0.436893203883,0.519417475728,0.841121495327,1.18888888889,0.0121359223301,0.456852791878,0.543147208122
16,593.0,308.0,19.0,3.0,6.0,929.0,None,Alaska,AK,0.638320775027,0.331539289559,1.92532467532,0.519392917369,0.00645855758881,0.658157602664,0.341842397336
20,35447.0,45075.0,1981.0,611.0,755.0,83869.0,None,Alaska,AK,0.422647223646,0.537445301601,0.786400443705,1.27161677998,0.00900213428084,0.440215096495,0.559784903505
50,2719.0,804.0,117.0,50.0,20.0,3710.0,None,Alaska,AK,0.732884097035,0.216711590296,3.38184079602,0.295696947407,0.00539083557951,0.771785410162,0.228214589838
60,125.0,189.0,13.0,6.0,3.0,336.0,None,Alaska,AK,0.372023809524,0.5625,0.661375661376,1.512,0.00892857142857,0.398089171975,0.601910828025
68,309.0,340.0,14.0,16.0,3.0,682.0,None,Alaska,AK,0.453079178886,0.49853372434,0.908823529412,1.1003236246,0.00439882697947,0.476117103236,0.523882896764
70,789.0,429.0,41.0,18.0,6.0,1283.0,None,Alaska,AK,0.614964925955,0.334372564302,1.83916083916,0.543726235741,0.00467653936087,0.647783251232,0.352216748768
90,9248.0,15931.0,805.0,293.0,338.0,26615.0,None,Alaska,AK,0.347473229382,0.598572233703,0.580503421003,1.72264273356,0.0126996054856,0.367290202153,0.632709797847
100,528.0,467.0,42.0,17.0,11.0,1065.0,None,Alaska,AK,0.495774647887,0.438497652582,1.13062098501,0.88446969697,0.0103286384977,0.530653266332,0.469346733668
105,436.0,292.0,20.0,11.0,6.0,765.0,None,Alaska,AK,0.569934640523,0.381699346405,1.49315068493,0.669724770642,0.0078431372549,0.598901098901,0.401098901099
110,5995.0,4174.0,286.0,154.0,67.0,10676.0,None,Alaska,AK,0.561539902585,0.390970400899,1.436272161,0.696246872394,0.00627575871113,0.589536827613,0.410463172387
122,5036.0,11338.0,401.0,183.0,192.0,17150.0,None,Alaska,AK,0.293644314869,0.66110787172,0.444170047627,2.25138999206,0.011195335277,0.30756076707,0.69243923293
130,1572.0,2269.0,149.0,53.0,54.0,4097.0,None,Alaska,AK,0.383695386868,0.553819868196,0.692816218599,1.44338422392,0.0131803758848,0.409268419682,0.590731580318
150,1486.0,2072.0,80.0,44.0,29.0,3711.0,None,Alaska,AK,0.400431150633,0.558340070062,0.717181467181,1.39434724092,0.0078146052277,0.417650365374,0.582349634626
158,1293.0,263.0,28.0,66.0,2.0,1652.0,None,Alaska,AK,0.782687651332,0.159200968523,4.91634980989,0.203402938902,0.00121065375303,0.830976863753,0.169023136247
164,126.0,70.0,7.0,4.0,1.0,208.0,None,Alaska,AK,0.605769230769,0.336538461538,1.8,0.555555555556,0.00480769230769,0.642857142857,0.357142857143
170,5923.0,17925.0,668.0,193.0,303.0,25012.0,None,Alaska,AK,0.23680633296,0.716656005118,0.330432357043,3.02633800439,0.0121141851911,0.248364642737,0.751635357263
180,1826.0,792.0,80.0,47.0,21.0,2766.0,None,Alaska,AK,0.660159074476,0.286334056399,2.30555555556,0.433734939759,0.00759219088937,0.697478991597,0.302521008403
185,1200.0,558.0,30.0,27.0,22.0,1837.0,None,Alaska,AK,0.653238976592,0.303756124115,2.15053763441,0.465,0.0119760479042,0.682593856655,0.317406143345
