geoid,nhwa_under18,nhwa_votingAge,aian_under18,aian_votingAge,asian_under18,asian_votingAge,black_under18,black_votingAge,hisp_under18,hisp_votingAge,multi_under18,multi_votingAge,nhpi_under18,nhpi_votingAge,sor_under18,sor_votingAge,white_under18,white_votingAge
01001,10051.0,31797.0,95.0,135.0,150.0,384.0,2832.0,7483.0,546.0,894.0,361.0,505.0,0.0,24.0,193.0,318.0,10413.0,32328.0
01003,33349.0,128804.0,129.0,1037.0,213.0,1094.0,5156.0,13579.0,3184.0,5592.0,1769.0,1628.0,0.0,0.0,798.0,1072.0,35576.0,133070.0
01005,2040.0,10414.0,0.0,52.0,99.0,145.0,2938.0,9657.0,492.0,749.0,155.0,202.0,0.0,0.0,402.0,526.0,2144.0,10612.0
01007,3616.0,13224.0,33.0,60.0,0.0,21.0,972.0,3874.0,249.0,253.0,49.0,261.0,0.0,0.0,0.0,7.0,3865.0,13462.0
01009,11082.0,39618.0,73.0,253.0,9.0,74.0,237.0,647.0,2021.0,2959.0,361.0,620.0,0.0,0.0,167.0,388.0,12837.0,42044.0
01011,317.0,2055.0,51.0,73.0,0.0,22.0,1866.0,5684.0,0.0,473.0,0.0,137.0,0.0,0.0,0.0,0.0,317.0,2528.0
01013,2116.0,8740.0,0.0,13.0,0.0,81.0,2450.0,6511.0,52.0,188.0,87.0,130.0,0.0,0.0,23.0,36.0,2168.0,8855.0
01015,17074.0,68110.0,67.0,156.0,233.0,767.0,6020.0,17875.0,1540.0,2535.0,1366.0,1380.0,0.0,7.0,367.0,795.0,18028.0,69587.0
01017,3651.0,15871.0,0.0,57.0,57.0,203.0,3360.0,10378.0,68.0,84.0,232.0,119.0,0.0,9.0,7.0,5.0,3712.0,15940.0
01019,4710.0,19144.0,68.0,76.0,20.0,68.0,303.0,978.0,113.0,278.0,132.0,175.0,0.0,4.0,0.0,17.0,4823.0,19344.0
01021,7748.0,27541.0,0.0,158.0,19.0,107.0,1281.0,3247.0,1344.0,2006.0,184.0,190.0,0.0,0.0,776.0,1029.0,8356.0,28472.0
01023,1497.0,5990.0,0.0,2.0,0.0,0.0,1288.0,4513.0,20.0,28.0,33.0,70.0,0.0,0.0,0.0,2.0,1497.0,5990.0
01025,2684.0,10692.0,0.0,7.0,28.0,62.0,2943.0,8403.0,12.0,73.0,30.0,50.0,57.0,39.0,0.0,24.0,2696.0,10731.0
01027,2161.0,8660.0,46.0,59.0,0.0,0.0,460.0,1503.0,155.0,275.0,113.0,99.0,0.0,0.0,103.0,89.0,2253.0,8812.0
01029,3073.0,10804.0,0.0,33.0,24.0,29.0,77.0,365.0,131.0,214.0,204.0,87.0,0.0,0.0,6.0,79.0,3170.0,10928.0
01031,7815.0,28577.0,127.0,348.0,99.0,528.0,2303.0,6526.0,1231.0,2045.0,651.0,837.0,0.0,0.0,154.0,244.0,8790.0,30277.0
01033,8685.0,34272.0,69.0,243.0,9.0,169.0,1813.0,6665.0,547.0,774.0,849.0,594.0,0.0,35.0,355.0,332.0,8757.0,34554.0
