geoid,total_16plus,total_16to19,total_20to24,total_25to54,total_55to64,total_65plus,inLaborForce_16to19,inLaborForce_20to24,inLaborForce_25to54,inLaborForce_55to64,inLaborForce_65plus,outLaborForce_16to19,outLaborForce_20to24,outLaborForce_25to54,outLaborForce_55to64,outLaborForce_65plus,Employed_16to19,Employed_20to24,Employed_25to54,Employed_55to64,EmployedMilitary_16to19,EmployedMilitary_20to24,EmployedMilitary_25to54,EmployedMilitary_55to64,Unemployed_16to19,Unemployed_20to24,Unemployed_25to54,Unemployed_55to64
01001,42801.0,3060.0,3422.0,22613.0,6228.0,7478.0,1121.0,2711.0,17602.0,4037.0,944.0,1939.0,711.0,5011.0,2191.0,6534.0,651.0,2421.0,16187.0,3875.0,0.0,0.0,445.0,0.0,470.0,290.0,970.0,162.0
01003,156379.0,9200.0,10178.0,74569.0,27056.0,35376.0,3977.0,8205.0,59936.0,15851.0,5198.0,5223.0,1973.0,14633.0,11205.0,30178.0,3328.0,7408.0,55350.0,14912.0,0.0,3.0,239.0,0.0,649.0,794.0,4347.0,939.0
01005,21785.0,1144.0,1833.0,11013.0,3470.0,4325.0,227.0,1143.0,6640.0,1767.0,662.0,917.0,690.0,4373.0,1703.0,3663.0,152.0,786.0,5441.0,1624.0,0.0,0.0,0.0,0.0,75.0,357.0,1199.0,143.0
01007,18339.0,1349.0,1361.0,9662.0,2712.0,3255.0,262.0,777.0,6147.0,1330.0,533.0,1087.0,584.0,3515.0,1382.0,2722.0,197.0,632.0,5669.0,1306.0,0.0,0.0,3.0,0.0,65.0,145.0,475.0,24.0
01009,45839.0,3291.0,3140.0,22459.0,7437.0,9512.0,921.0,2240.0,15584.0,3953.0,1367.0,2370.0,900.0,6875.0,3484.0,8145.0,773.0,1941.0,14353.0,3799.0,0.0,14.0,19.0,0.0,148.0,285.0,1212.0,154.0
01011,8653.0,341.0,874.0,4428.0,1452.0,1558.0,69.0,683.0,2913.0,844.0,203.0,272.0,191.0,1515.0,608.0,1355.0,49.0,419.0,2399.0,817.0,0.0,0.0,0.0,0.0,20.0,264.0,514.0,27.0
01013,16215.0,947.0,1272.0,7482.0,2890.0,3624.0,282.0,917.0,5734.0,1459.0,410.0,665.0,355.0,1748.0,1431.0,3214.0,148.0,750.0,5164.0,1345.0,0.0,0.0,32.0,0.0,134.0,167.0,538.0,114.0
01015,93346.0,6e3,8646.0,44817.0,15816.0,18067.0,2160.0,6607.0,34987.0,8319.0,2265.0,3840.0,2039.0,9830.0,7497.0,15802.0,1229.0,5504.0,30718.0,7773.0,0.0,27.0,234.0,41.0,931.0,1076.0,4035.0,505.0
01017,27492.0,1498.0,2180.0,12901.0,4791.0,6122.0,535.0,1592.0,9501.0,2629.0,796.0,963.0,588.0,3400.0,2162.0,5326.0,349.0,1289.0,8796.0,2517.0,0.0,0.0,25.0,0.0,186.0,303.0,680.0,112.0
01019,21242.0,1084.0,1424.0,9420.0,4158.0,5156.0,467.0,1091.0,7305.0,1669.0,494.0,617.0,333.0,2115.0,2489.0,4662.0,394.0,959.0,6767.0,1562.0,0.0,0.0,0.0,0.0,73.0,132.0,538.0,107.0
01021,34348.0,2070.0,2806.0,17288.0,5642.0,6542.0,794.0,2135.0,12699.0,3094.0,987.0,1276.0,671.0,4589.0,2548.0,5555.0,545.0,1745.0,11716.0,2918.0,0.0,0.0,12.0,0.0,249.0,390.0,971.0,176.0
01023,10900.0,604.0,762.0,4851.0,1970.0,2713.0,133.0,555.0,3330.0,796.0,283.0,471.0,207.0,1521.0,1174.0,2430.0,83.0,198.0,3070.0,776.0,0.0,0.0,0.0,0.0,50.0,357.0,260.0,20.0
01025,20128.0,1400.0,1600.0,9389.0,3348.0,4391.0,409.0,1225.0,6481.0,1432.0,575.0,991.0,375.0,2908.0,1916.0,3816.0,229.0,724.0,5435.0,1230.0,0.0,0.0,0.0,0.0,180.0,501.0,1046.0,202.0
01027,10933.0,766.0,632.0,5069.0,1909.0,2557.0,363.0,446.0,3633.0,944.0,334.0,403.0,186.0,1436.0,965.0,2223.0,208.0,391.0,3320.0,932.0,0.0,0.0,5.0,0.0,155.0,55.0,308.0,12.0
