ORI,agency
AK0010100,ANCHORAGE
AK0011600,KOTZEBUE
AK0012000,SOLDOTNA
AK0013200,NORTH POLE
AL0010200,BIRMINGHAM
AL0010400,FAIRFIELD
AL0011100,FULTONDALE
AL0011200,HOOVER
AL0011300,IRONDALE
AL0011900,HUEYTOWN
AL0012200,ADAMSVILLE
AL0020500,SARALAND
AL0020800,MOUNT VERNON
AL0030100,MONTGOMERY
AL0040100,PRATTVILLE
AL0050300,FOLEY
AL0051200,ORANGE BEACH
AL0080000,BLOUNT
AL0080100,ONEONTA
AL0100100,GREENVILLE
AL0110200,JACKSONVILLE
AL0110300,PIEDMONT
AL0110400,WEAVER
AL0110500,OXFORD
AL0120200,LANETT
AL0130100,CENTRE
AL0140000,CHILTON
AL0140100,CLANTON
AL0160000,CLARKE
AL0160100,JACKSON
AL0180100,HEFLIN
AL0190100,ELBA
AL0190200,ENTERPRISE
AL0200100,SHEFFIELD
AL0200200,TUSCUMBIA
AL0220000,COOSA
AL0250000,CULLMAN
AL0260100,OZARK
AL0280100,FORT PAYNE
AL0281100,FYFFE
AL0340400,SLOCOMB
AL0370100,ABBEVILLE
AL0420200,TOWN CREEK
AL0470000,MADISON
AL0470200,MADISON
AL0480000,MARENGO
AL0500200,GUNTERSVILLE
AL0500600,DOUGLAS
AL0520100,DECATUR
AL0560100,ROANOKE
AL0570100,PHENIX CITY
AL0580700,RIVERSIDE
AL0590400,ALABASTER
AL0590600,PELHAM
AL0610100,SYLACAUGA
AL0610200,TALLADEGA
AL0610400,LINCOLN
AL0630000,TUSCALOOSA
AL0630100,TUSCALOOSA
AL0640100,JASPER
AL0640600,PARRISH
AL0650000,WASHINGTON
AL0670200,HALEYVILLE
AR0020100,CROSSETT
AR0030000,BAXTER
AR0040000,BENTON
AR0040100,BENTONVILLE
AR0040200,ROGERS
AR0040300,SILOAM SPRINGS
AR0050000,BOONE
AR0150100,MORRILTON
AR0160100,JONESBORO
AR0210100,MCGEHEE
AR0230000,FAULKNER
AR0230100,CONWAY
AR0260000,GARLAND
AR0260100,HOT SPRINGS
AR0280100,PARAGOULD
AR0280200,MARMADUKE
AR0320000,INDEPENDENCE
AR0340100,NEWPORT
AR0350100,PINE BLUFF
AR0350400,UNIV OF AR: PINE BLUFF
AR0430000,LONOKE
AR0430600,WARD
AR0460000,MILLER
AR0460100,TEXARKANA
AR0470200,OSCEOLA
AR0530000,PERRY
AR0540100,HELENA-WEST HELENA
AR0540300,MARVELL
AR0580100,RUSSELLVILLE
AR0600000,PULASKI
AR0600100,JACKSONVILLE
AR0600300,NORTH LITTLE ROCK
AR0600400,SHERWOOD
AR0600500,UNIV OF AR: LITTLE ROCK
AR0620100,FORREST CITY
AR0630000,SALINE
AR0630100,BENTON
AR0630200,BRYANT
AR0660000,SEBASTIAN
AR0660100,FORT SMITH
AR0720200,SPRINGDALE
AR0720400,UNIV OF AR: FAYETTEVILLE
AR0721000,ELKINS
AR0730000,WHITE
AR0730100,SEARCY
AR0730200,BALD KNOB
AR0750300,OLA
AZ0010500,SPRINGERVILLE
AZ0021300,WILLCOX
AZ0030100,FLAGSTAFF
AZ0030700,WILLIAMS
AZ0039700,NORTHERN ARIZONA UNIV
AZ0050000,GRAHAM
AZ0070000,MARICOPA
AZ0070100,AVONDALE
AZ0070300,BUCKEYE
AZ0070500,CHANDLER
AZ0070700,EL MIRAGE
AZ0071100,GILBERT
AZ0071300,GLENDALE
AZ0071500,GOODYEAR
AZ0071700,MESA
AZ0071900,PARADISE VALLEY
AZ0072100,PEORIA
AZ0072300,PHOENIX
AZ0072500,SCOTTSDALE
AZ0072700,SURPRISE
AZ0072900,TEMPE
AZ0073300,WICKENBURG
AZ0079700,"AZ STATE UNIV, MAIN CAMP"
AZ0080000,MOHAVE
AZ0080100,KINGMAN
AZ0080400,LAKE HAVASU CITY
AZ0090100,HOLBROOK
AZ0090300,SHOW LOW
AZ0100000,PIMA
AZ0100300,TUCSON
AZ0100700,ORO VALLEY
AZ0101000,TUCSON AIRPORT AUTHORITY
AZ0109700,UNIVERSITY OF ARIZONA
AZ0110000,PINAL
AZ0110300,COOLIDGE
AZ0111100,MAMMOTH
AZ0111300,APACHE JUNCTION
AZ0111700,MARICOPA
AZ0119700,CENTRAL ARIZONA COLLEGE
AZ0120100,NOGALES
AZ0130000,YAVAPAI
AZ0130300,COTTONWOOD
AZ0130700,PRESCOTT
AZ0131100,PRESCOTT VALLEY
AZ0131300,CAMP VERDE
AZ0140000,YUMA
AZ0140300,SOMERTON
AZ0140500,YUMA
CA0010000,ALAMEDA
CA0010100,ALAMEDA
CA0010200,ALBANY
CA0010300,BERKELEY
CA0010400,EMERYVILLE
CA0010500,FREMONT
CA0010600,HAYWARD
CA0010700,LIVERMORE
CA0010800,NEWARK
CA0010900,OAKLAND
CA0011000,PIEDMONT
CA0011200,SAN LEANDRO
CA0011300,UNION CITY
CA0011400,E BAY REG PKS:ALAMEDA CO
CA0011500,CA ST UN: EAST BAY
CA0012100,SF BART: ALAMEDA COUNTY
CA0013000,DUBLIN
CA0019700,UN OF CA: BERKELEY
CA0030000,AMADOR
CA0030200,IONE
CA0040000,BUTTE
CA0040200,CHICO
CA0040300,GRIDLEY
CA0040500,PARADISE
CA0040700,DPR: NORTHERN BUTTES
CA0050000,CALAVERAS
CA0050100,CITY OF ANGELS
CA0060000,COLUSA
CA0060100,COLUSA
CA0070000,CONTRA COSTA
CA0070100,ANTIOCH
CA0070200,BRENTWOOD
CA0070400,CONCORD
CA0070500,EL CERRITO
CA0070600,HERCULES
CA0070700,PINOLE
CA0070800,PITTSBURG
CA0070900,PLEASANT HILL
CA0071000,RICHMOND
CA0071100,SAN PABLO
CA0071200,WALNUT CREEK
CA0071800,SF BART: CONTRA COSTA CO
CA0072100,CONTRA COSTA COMM COLLEG
CA0072400,SAN RAMON
CA0073400,OAKLEY
CA0080000,DEL NORTE
CA0090000,EL DORADO
CA0090100,PLACERVILLE
CA0090200,SOUTH LAKE TAHOE
CA0100000,FRESNO
CA0100100,CLOVIS
CA0100200,COALINGA
CA0100300,FIREBAUGH
CA0100400,FOWLER
CA0100500,FRESNO
CA0100700,KERMAN
CA0101100,PARLIER
CA0101200,REEDLEY
CA0101300,SANGER
CA0101500,SELMA
CA0101700,STATE CENTER COM COL DST
CA0109700,CA ST UN: FRESNO
CA0110000,GLENN
CA0110100,ORLAND
CA0120000,HUMBOLDT
CA0120100,ARCATA
CA0120300,EUREKA
CA0120800,HUMBOLDT STATE UNIVERSIT
CA0130000,IMPERIAL
CA0130600,IMPERIAL
CA0140100,BISHOP
CA0150000,KERN
CA0150100,ARVIN
CA0150200,BAKERSFIELD
CA0150300,DELANO
CA0150600,RIDGECREST
CA0150700,SHAFTER
CA0150800,TAFT
CA0150900,TEHACHAPI
CA0160000,KINGS
CA0160200,HANFORD
CA0160300,LEMOORE
CA0170000,LAKE
CA0170200,CLEARLAKE
CA0180100,SUSANVILLE
CA0190000,LOS ANGELES
CA0190100,ALHAMBRA
CA0190300,ARTESIA
CA0190500,AZUSA
CA0190600,BALDWIN PARK
CA0190800,BELLFLOWER
CA0190900,BELL GARDENS
CA0190K00,LA CO MTRP TRNSPRTN AUTH
CA0190X00,WESTLAKE VILLAGE
CA0191000,BEVERLY HILLS
CA0191200,BURBANK
CA0191300,CLAREMONT
CA0191400,COMMERCE
CA0191500,COMPTON
CA0191600,COVINA
CA0191700,CUDAHY
CA0191900,CERRITOS
CA0191F00,AGOURA HILLS
CA0191H00,WEST HOLLYWOOD
CA0191R00,SANTA CLARITA
CA0191W00,DIAMOND BAR
CA0192000,DOWNEY
CA0192100,DUARTE
CA0192200,EL MONTE
CA0192300,EL SEGUNDO
CA0192400,GARDENA
CA0192500,GLENDALE
CA0192600,GLENDORA
CA0192700,HAWAIIAN GARDENS
CA0192800,HAWTHORNE
CA0192900,HERMOSA BEACH
CA0192H00,CALABASAS
CA0192J00,MALIBU
CA0192U00,LA TRNSPRTN SERVICES BUR
CA0193100,HUNTINGTON PARK
CA0193200,INDUSTRY
CA0193300,INGLEWOOD
CA0193500,LAKEWOOD
CA0193600,LA MIRADA
CA0193700,LA PUENTE
CA0193800,LA VERNE
CA0193900,LAWNDALE
CA0194000,LOMITA
CA0194100,LONG BEACH
CA0194200,LOS ANGELES
CA0194300,LYNWOOD
CA0194400,MANHATTAN BEACH
CA0194500,MAYWOOD
CA0194600,MONROVIA
CA0194700,MONTEBELLO
CA0194800,MONTEREY PARK
CA0194900,NORWALK
CA0195000,PALMDALE
CA0195200,PARAMOUNT
CA0195300,PASADENA
CA0195400,PICO RIVERA
CA0195500,POMONA
CA0195600,REDONDO BEACH
CA0195800,ROLLING HILLS ESTATES
CA0195900,ROSEMEAD
CA0196000,SAN DIMAS
CA0196200,SAN GABRIEL
CA0196300,SAN MARINO
CA0196500,SANTA MONICA
CA0196600,SIERRA MADRE
CA0196900,SOUTH GATE
CA0197100,TEMPLE CITY
CA0197200,TORRANCE
CA0197500,WEST COVINA
CA0197600,WHITTIER
CA0197700,CARSON
CA0197800,CA ST POLYTEC U: POMONA
CA0198000,RANCHO PALOS VERDES
CA0198100,CA ST UN: DOMINGUEZ HLLS
CA0198200,CA ST UN: LONG BEACH
CA0198300,CA ST UN: LOS ANGELES
CA0198400,CA ST UN: NORTHRIDGE
CA0199000,LA CANADA FLINTRIDGE
CA0199600,LANCASTER
CA0199700,UN OF CA: LOS ANGELES
CA0200000,MADERA
CA0200200,MADERA
CA0210000,MARIN
CA0210600,NOVATO
CA0210800,SAN ANSELMO
CA0210900,SAN RAFAEL
CA0211300,MARIN COMMUNITY COLLEGE
CA0211700,CENTRAL MARIN
CA0220000,MARIPOSA
CA0230000,MENDOCINO
CA0230100,FORT BRAGG
CA0230300,UKIAH
CA0240000,MERCED
CA0240400,LIVINGSTON
CA0240600,MERCED
CA0260100,MAMMOTH LAKES
CA0270000,MONTEREY
CA0270100,CARMEL
CA0270400,GREENFIELD
CA0270600,MONTEREY
CA0270700,PACIFIC GROVE
CA0270800,SALINAS
CA0271000,SEASIDE
CA0271100,SOLEDAD
CA0271200,MARINA
CA0280200,NAPA
CA0290000,NEVADA
CA0290100,GRASS VALLEY
CA0290800,TRUCKEE
CA0300000,ORANGE
CA0300100,ANAHEIM
CA0300200,BREA
CA0300300,BUENA PARK
CA0300400,COSTA MESA
CA0300500,CYPRESS
