name,idealogy_icon,city,state,statewide,headquarters,lat,long,splc_group,splc_ideology
Knights of the Ku Klux Klan,kkk,Harrison,Arkansas,0,1,36.22,-93.1,"<a href=""https://edit.splcenter.org/fighting-hate/extremist-files/group/knights-ku-klux-klan"">Knights of the Ku Klux Klan</a>","<a href=""https://edit.splcenter.org/fighting-hate/extremist-files/ideology/ku-klux-klan"">Ku Klux Klan</a>"
America First Committee,neo-nazi,Lyons,Illinois,0,0,41.82,-87.81,,"<a href=""https://edit.splcenter.org/fighting-hate/extremist-files/ideology/neo-nazi"">Neo-Nazi</a>"
Church of Israel,christian-identity,Schell City,Missouri,0,1,38.02,-94.11,,"<a href=""https://edit.splcenter.org/fighting-hate/extremist-files/ideology/christian-identity"">Christian Identity</a>"
Nation of Islam,black-separatist,Chicago,Illinois,0,1,41.759792,-87.564304,,"<a href=""https://edit.splcenter.org/fighting-hate/extremist-files/ideology/black-separatist"">Black Separatist</a>"
Campaign for Radical Truth in History,holocaust-denial,Coeur d'Alene,Idaho,0,1,47.671935,-116.707675,,"<a href=""https://edit.splcenter.org/fighting-hate/extremist-files/ideology/holocaust-denial"">Holocaust Denial</a>"
Institute for Historical Review,holocaust-denial,Newport Beach,California,0,1,33.62,-117.92,"<a href=""https://edit.splcenter.org/fighting-hate/extremist-files/group/institute-historical-review"">Institute for Historical Review</a>","<a href=""https://edit.splcenter.org/fighting-hate/extremist-files/ideology/holocaust-denial"">Holocaust Denial</a>"
Scriptures for America Ministries,christian-identity,Laporte,Colorado,0,1,40.62,-105.13,,"<a href=""https://edit.splcenter.org/fighting-hate/extremist-files/ideology/christian-identity"">Christian Identity</a>"
White Aryan Resistance,neo-nazi,Warsaw,Indiana,0,1,41.23,-85.85,,"<a href=""https://edit.splcenter.org/fighting-hate/extremist-files/ideology/neo-nazi"">Neo-Nazi</a>"
Confederate White Knights of the Ku Klux Klan,kkk,Walterboro,South Carolina,0,0,32.9,-80.66,,"<a href=""https://edit.splcenter.org/fighting-hate/extremist-files/ideology/ku-klux-klan"">Ku Klux Klan</a>"
Mission to Israel,christian-identity,Scottsbluff,Nebraska,0,1,41.866533,-103.661168,,"<a href=""https://edit.splcenter.org/fighting-hate/extremist-files/ideology/christian-identity"">Christian Identity</a>"
Northern Hammerskins,racist-skinhead,Detroit,Michigan,0,0,42.33,-83.04,,"<a href=""https://edit.splcenter.org/fighting-hate/extremist-files/ideology/racist-skinhead"">Racist Skinhead</a>"
National Socialist German Workers Party,neo-nazi,Lincoln,Nebraska,0,1,40.818579,-96.711272,,"<a href=""https://edit.splcenter.org/fighting-hate/extremist-files/ideology/neo-nazi"">Neo-Nazi</a>"
New Order,neo-nazi,Milwaukee,Wisconsin,0,1,42.99,-88.04,,"<a href=""https://edit.splcenter.org/fighting-hate/extremist-files/ideology/neo-nazi"">Neo-Nazi</a>"
Kingdom Identity Ministries,christian-identity,Harrison,Arkansas,0,1,36.229999,-93.11,"<a href=""https://edit.splcenter.org/fighting-hate/extremist-files/group/kingdom-identity-ministries"">Kingdom Identity Ministries </a>","<a href=""https://edit.splcenter.org/fighting-hate/extremist-files/ideology/christian-identity"">Christian Identity</a>"
Nation of Islam,black-separatist,Los Angeles,California,0,0,33.94,-118.29,"<a href=""https://edit.splcenter.org/fighting-hate/extremist-files/group/nation-islam"">Nation of Islam</a>","<a href=""https://edit.splcenter.org/fighting-hate/extremist-files/ideology/black-separatist"">Black Separatist</a>"
America's Promise Ministries,christian-identity,Sandpoint,Idaho,0,1,48.27,-116.55,"<a href=""https://edit.splcenter.org/fighting-hate/extremist-files/group/americas-promise-ministries"">America&#039;s Promise Ministries</a>","<a href=""https://edit.splcenter.org/fighting-hate/extremist-files/ideology/christian-identity"">Christian Identity</a>"
Council of Conservative Citizens,white-nationalist,St. Louis,Missouri,0,1,38.578783,-90.421944,"<a href=""https://edit.splcenter.org/fighting-hate/extremist-files/group/council-conservative-citizens"">Council of Conservative Citizens</a>","<a href=""https://edit.splcenter.org/fighting-hate/extremist-files/ideology/white-nationalist"">White Nationalist</a>"
Sacto Skins,racist-skinhead,Sacramento,California,0,1,38.581571,-121.494399,,"<a href=""https://edit.splcenter.org/fighting-hate/extremist-files/ideology/racist-skinhead"">Racist Skinhead</a>"
National Alliance,neo-nazi,Hillsboro,West Virginia,0,0,38.135397,-80.213126,"<a href=""https://edit.splcenter.org/fighting-hate/extremist-files/group/national-alliance"">National Alliance</a>","<a href=""https://edit.splcenter.org/fighting-hate/extremist-files/ideology/neo-nazi"">Neo-Nazi</a>"
Nation of Islam,black-separatist,Durham,North Carolina,0,0,35.96,-78.8,"<a href=""https://edit.splcenter.org/fighting-hate/extremist-files/group/nation-islam"">Nation of Islam</a>","<a href=""https://edit.splcenter.org/fighting-hate/extremist-files/ideology/black-separatist"">Black Separatist</a>"
National Socialist Movement,neo-nazi,Detroit,Michigan,0,1,42.401041,-82.998534,"<a href=""https://edit.splcenter.org/fighting-hate/extremist-files/group/national-socialist-movement"">National Socialist Movement</a>","<a href=""https://edit.splcenter.org/fighting-hate/extremist-files/ideology/neo-nazi"">Neo-Nazi</a>"
Confederate Hammerskins,racist-skinhead,,Georgia,1,0,32.16,-82.9,,"<a href=""https://edit.splcenter.org/fighting-hate/extremist-files/ideology/racist-skinhead"">Racist Skinhead</a>"
Nation of Islam,black-separatist,Atlanta,Georgia,0,0,33.689184,-84.50818,"<a href=""https://edit.splcenter.org/fighting-hate/extremist-files/group/nation-islam"">Nation of Islam</a>","<a href=""https://edit.splcenter.org/fighting-hate/extremist-files/ideology/black-separatist"">Black Separatist</a>"
Resistance Records,racist-music,Chicago,Illinois,0,1,41.87,-87.62,,"<a href=""https://edit.splcenter.org/fighting-hate/extremist-files/ideology/hate-music"">Hate Music</a>"
Council of Conservative Citizens,white-nationalist,Franklin,Tennessee,0,0,35.925063,-86.868889,"<a href=""https://edit.splcenter.org/fighting-hate/extremist-files/group/council-conservative-citizens"">Council of Conservative Citizens</a>","<a href=""https://edit.splcenter.org/fighting-hate/extremist-files/ideology/white-nationalist"">White Nationalist</a>"
MSR Productions,racist-music,Wheat Ridge,Colorado,0,1,39.77,-105.08,,"<a href=""https://edit.splcenter.org/fighting-hate/extremist-files/ideology/hate-music"">Hate Music</a>"
American Renaissance/New Century Foundation,white-nationalist,Oakton,Virginia,0,1,38.892351,-77.326699,"<a href=""https://edit.splcenter.org/fighting-hate/extremist-files/group/american-renaissance"">American Renaissance</a>","<a href=""https://edit.splcenter.org/fighting-hate/extremist-files/ideology/white-nationalist"">White Nationalist</a>"
Stormfront,white-nationalist,West Palm Beach,Florida,0,1,26.665499,-80.05908,"<a href=""https://edit.splcenter.org/fighting-hate/extremist-files/group/stormfront"">Stormfront</a>","<a href=""https://edit.splcenter.org/fighting-hate/extremist-files/ideology/white-nationalist"">White Nationalist</a>"
Sacred Truth Publishing & Ministries,christian-identity,Mountain City,Tennessee,0,1,36.47,-81.8,,"<a href=""https://edit.splcenter.org/fighting-hate/extremist-files/ideology/christian-identity"">Christian Identity</a>"
Nation of Islam,black-separatist,Boston,Massachusetts,0,0,42.3,-71.08,"<a href=""https://edit.splcenter.org/fighting-hate/extremist-files/group/nation-islam"">Nation of Islam</a>","<a href=""https://edit.splcenter.org/fighting-hate/extremist-files/ideology/black-separatist"">Black Separatist</a>"
Nation of Islam,black-separatist,Miami,Florida,0,0,25.82,-80.2,"<a href=""https://edit.splcenter.org/fighting-hate/extremist-files/group/nation-islam"">Nation of Islam</a>","<a href=""https://edit.splcenter.org/fighting-hate/extremist-files/ideology/black-separatist"">Black Separatist</a>"
American Immigration Control Foundation/Americans for Immigration Control,anti-immigrant,Monterey,Virginia,0,1,38.41,-79.58,,"<a href=""https://edit.splcenter.org/fighting-hate/extremist-files/ideology/anti-immigrant"">Anti-Immigrant</a>"
