state,penalty_enhancement,race_religion_ethnicity,sexual_orientation,gender,gender_identity,disability,other
Alabama,"<a href=""http://codes.lp.findlaw.com/alcode/13A/5/1/13A-5-13"" target=""_blank"" class=""btn btn-primary"">AL ST § 13A-5-13 (1993)</a>",YES,NO,NO,NO,YES,NO
Alaska,"<a href=""http://touchngo.com/lglcntr/akstats/statutes/title12/chapter55/section155.htm"" target=""_blank"" class=""btn btn-primary"">AS § 12.55.155 (1996)</a>",YES,NO,YES,NO,YES,NO
Arizona,"<a href=""http://www.azleg.gov/FormatDocument.asp?inDoc=/ars/13/00701.htm&Title=13&DocType=ARS"" target=""_blank"" class=""btn btn-primary"">AZ ST § 13-701</a>",YES,YES,YES,NO,YES,NO
Arkansas,NA,NO,NO,NO,NO,NO,NO
California,"<a href=""http://www.leginfo.ca.gov/cgi-bin/displaycode?section=pen&group=00001-01000&file=422.55-422.57"" target=""_blank"" class=""btn btn-primary"">CA PENAL §  422.55</a> <a href=""http://codes.lp.findlaw.com/cacode/PEN/3/1/11.6/2/s422.7"" target=""_blank"" class=""btn btn-primary"">CA PENAL § 422.7</a> <a href=""http://codes.lp.findlaw.com/cacode/PEN/3/1/11.6/2/s422.75"" target=""_blank"" class=""btn btn-primary"">CA PENAL § 422.75</a>",YES,YES,YES,YES,YES,YES
Colorado,"<a href=""http://www.lpdirect.net/casb/crs/18-9-121.html"" target=""_blank"" class=""btn btn-primary"">CO ST § 18-9-121 (1988)</a>",YES,YES,NO,YES,YES,YES
Connecticut,"<a href=""http://law.justia.com/codes/connecticut/2005/title53a/sec53a-40a.html"" target=""_blank"" class=""btn btn-primary"">CT ST § 53a-40a</a> <a href=""http://law.justia.com/codes/connecticut/2011/title53a/chap952/Sec53a-181.html"" target=""_blank"" class=""btn btn-primary"">CT ST § 53a181(j-k)</a>",YES,YES,YES,YES,YES,NO
Delaware,"<a href=""http://www.delcode.delaware.gov/title11/c005/sc07/index.shtml"" target=""_blank"" class=""btn btn-primary"">DE ST TI 11 § 1304 (1995)</a>",YES,YES,YES,YES,YES,NO
DC,"<a href=""http://dccode.org/simple/sections/22-3703.html"" target=""_blank"" class=""btn btn-primary"">D.C. Code § 22-3703</a>",YES,YES,YES,YES,YES,YES
Florida,"<a href=""http://www.leg.state.fl.us/Statutes/index.cfm?App_mode=Display_Statute&Search_String=&URL=0700-0799/0775/Sections/0775.085.html"" target=""_blank"" class=""btn btn-primary"">FL ST § 775.085 (1992)</a>",YES,YES,NO,NO,YES,YES
Georgia,NA,NO,NO,NO,NO,NO,NO
Hawaii,"<a href=""http://codes.lp.findlaw.com/histatutes/5/37/706/IV/and/706-662"" target=""_blank"" class=""btn btn-primary"">HI ST § 706-662 (1972)</a>",YES,YES,YES,YES,YES,YES
