state,civil_action,data_collection,police_training,institutional_vandalism,cross_burning
Alabama,NA,NA,NA,"<a href=""http://codes.lp.findlaw.com/alcode/13A/11/1/13A-11-12"" target=""_blank"" class=""btn btn-primary"">AL ST § 13A-11-12 (1977)</a>","<a href=""http://codes.lp.findlaw.com/alcode/13A/6/2/13A-6-28"" target=""_blank"" class=""btn btn-primary"">AL ST § 13A-6-28 (2003)</a>"
Alaska,NA,NA,NA,NA,NA
Arizona,NA,"<a href=""http://www.azleg.state.az.us/FormatDocument.asp?inDoc=/ars/41/01750.htm&Title=41&DocType=ARS"" target=""_blank"" class=""btn btn-primary"">AZ ST § 41-1750</a>","<a href=""http://www.azleg.state.az.us/FormatDocument.asp?inDoc=/ars/41/01750.htm&Title=41&DocType=ARS"" target=""_blank"" class=""btn btn-primary"">AZ ST § 41-1750</a>","<a href=""http://www.azleg.state.az.us/FormatDocument.asp?inDoc=/ars/13/01604.htm&Title=13&DocType=ARS"" target=""_blank"" class=""btn btn-primary"">AZ ST § 13-1604 (1994)</a>","<a href=""http://www.azleg.gov/FormatDocument.asp?inDoc=/ars/13/01707.htm&Title=13&DocType=ARS"" target=""_blank"" class=""btn btn-primary"">AZ § 13-1707</a>"
Arkansas,"<a href=""http://law.justia.com/codes/arkansas/2010/title-16/subtitle-7/chapter-123/subchapter-1/16-123-106/"" target=""_blank"" class=""btn btn-primary"">AR ST § 16-123-106</a>",NA,NA,"<a href=""http://law.justia.com/codes/arkansas/2010/title-5/subtitle-4/chapter-38/subchapter-3/5-38-301/"" target=""_blank"" class=""btn btn-primary"">AR ST § 5-38-301</a> <a href=""http://law.justia.com/codes/arkansas/2010/title-5/subtitle-6/chapter-71/subchapter-2/5-71-215/"" target=""_blank"" class=""btn btn-primary"">AR ST § 5-71-215</a>",NA
California,"<a href=""http://codes.lp.findlaw.com/cacode/CIV/5/d1/2/s52"" target=""_blank"" class=""btn btn-primary"">CAL. CIV. CODE § 52</a>","<a href=""http://codes.lp.findlaw.com/cacode/PEN/3/4/3/1/2/s13023"" target=""_blank"" class=""btn btn-primary"">CA PENAL § 13023 (2005)</a>","<a href=""http://law.onecle.com/california/penal/13519.6.html"" target=""_blank"" class=""btn btn-primary"">CA PENAL § 13519.6 (2005)</a>","<a href=""http://codes.lp.findlaw.com/cacode/PEN/3/1/14/s594.3"" target=""_blank"" class=""btn btn-primary"">CA PENAL § 594.3 (2005)</a> <a href=""http://codes.lp.findlaw.com/cacode/PEN/3/4/1/3/4.5/s11413"" target=""_blank"" class=""btn btn-primary"">CA PENAL §  11413</a>","<a href=""http://codes.lp.findlaw.com/cacode/PEN/3/4/1/3/4.5/s11411"" target=""_blank"" class=""btn btn-primary"">CA PENAL § 11411 (1982)</a>"
Colorado,"<a href=""http://www.lpdirect.net/casb/crs/13-21-106_5.html"" target=""_blank"" class=""btn btn-primary"">CO ST § 13-21-106.5 (1991)</a>",NA,NA,"<a href=""http://www.lpdirect.net/casb/crs/18-9-113.html"" target=""_blank"" class=""btn btn-primary"">CO ST § 18-9-113</a>",NA
Connecticut,"<a href=""http://law.justia.com/codes/connecticut/2011/title52/chap925/Sec52-571c.html"" target=""_blank"" class=""btn btn-primary"">CT ST § 52-571c (1995)</a>","<a href=""http://law.justia.com/codes/connecticut/2005/title29/sec29-7m.html"" target=""_blank"" class=""btn btn-primary"">CT ST § 29-7m</a>","<a href=""http://law.justia.com/codes/connecticut/2011/title4a/chap057/Sec4a-2c.html"" target=""_blank"" class=""btn btn-primary"">CT ST § 4a-2c (1999)</a> <a href=""http://law.justia.com/codes/connecticut/2011/title7/chap104/Sec7-294n.html"" target=""_blank"" class=""btn btn-primary""> CT ST § 7-294n (2001)</a>","<a href=""http://law.justia.com/codes/connecticut/2011/title46a/chap814c/Sec46a-58.html"" target=""_blank"" class=""btn btn-primary"">CT ST § 46a-58 (1984)</a>","<a href=""http://law.justia.com/codes/connecticut/2011/title46a/chap814c/Sec46a-58.html"" target=""_blank"" class=""btn btn-primary"">CT ST § 46a-58 (1984)</a>"
Delaware,NA,NA,NA,"<a href=""http://codes.lp.findlaw.com/decode/11/5/VII/1331"" target=""_blank"" class=""btn btn-primary"">DE ST TI 11 § 1331</a>","<a href=""http://codes.lp.findlaw.com/decode/11/5/III/805"" target=""_blank"" class=""btn btn-primary"">DE ST TI 11 § 805</a>"
DC,"<a href=""http://dccode.org/simple/sections/22-3704.html"" target=""_blank"" class=""btn btn-primary"">D.C. Code § 22-3704</a>","<a href=""http://dccode.org/simple/sections/22-3702.html"" target=""_blank"" class=""btn btn-primary"">D.C. Code § 22-3702</a>",NA,"<a href=""http://dccode.org/simple/sections/22-3312.01.html"" target=""_blank"" class=""btn btn-primary"">D.C. Code § 22-3312.01 (1983)</a>","<a href=""http://dccode.org/simple/sections/22-3312.02.html"" target=""_blank"" class=""btn btn-primary"">D.C. Code § 22-3312.02 (1983)</a>"
Florida,"<a href=""http://www.leg.state.fl.us/Statutes/index.cfm?App_mode=Display_Statute&Search_String=&URL=0700-0799/0775/Sections/0775.085.html"" target=""_blank"" class=""btn btn-primary"">FL ST § 775.085 (1992)</a>","<a href=""http://www.leg.state.fl.us/Statutes/index.cfm?App_mode=Display_Statute&Search_String=&URL=0800-0899/0877/Sections/0877.19.html"" target=""_blank"" class=""btn btn-primary"">FL ST § 877.19 (1996)</a>",NA,"<a href=""http://www.leg.state.fl.us/Statutes/index.cfm?App_mode=Display_Statute&Search_String=&URL=0800-0899/0806/Sections/0806.13.html"" target=""_blank"" class=""btn btn-primary"">FL ST § 806.13 (1995)</a>","<a href=""http://www.leg.state.fl.us/Statutes/index.cfm?App_mode=Display_Statute&Search_String=&URL=0800-0899/0876/Sections/0876.17.html"" target=""_blank"" class=""btn btn-primary"">FL ST § 876.17 (1951)</a>"
Georgia,NA,NA,NA,"<a href=""http://law.justia.com/georgia/codes/2010/title-16/chapter-7/article-2/part-1/16-7-26/"" target=""_blank"" class=""btn btn-primary"">GA ST § 16-7-26 (1968)</a>","<a href=""http://law.justia.com/georgia/codes/2010/title-16/chapter-11/article-2/16-11-37/"" target=""_blank"" class=""btn btn-primary"">GA ST § 16-11-37 (1974)</a>"
