cartodb_id,the_geom,population,disability,ethnicity,sexual_ori,religion,race,fid,gender_ide,gender,race_ethni,_4th_quarte,_3rd_quarte,_2nd_quarte,_1st_quarte,no__of_qua,place_name,place_type,state,arc_region,arc_city,region,subregion,city,placename,type,match_addr,latitude,longitude,date
106,0101000020E610000067B62BF4C12455C04208C89750834340,,0,1,0,0,0,473, , , ,Not Applicable,Not Applicable,Not Applicable,Not Applicable,4,Lakeside Park-crestview Hills,Cities,Kentucky,Kentucky,Lakeside Park-Crestview Hills, , , , , , ,39.025897,-84.574338,2004
119,0101000020E6100000A393A5D6FBB457C0836E2F698CC44740,,0,0,0,0,1,767, , , ,Not Applicable,Not Applicable,Not Applicable,Not Applicable,4,Lakes Area,Cities,Minnesota,Minnesota,Lakes Area, , , , , , ,47.535535,-94.827871,2004
132,0101000020E610000061A8C30AB79B52C063601DC70F2B4440,,0,0,0,2,3,1007, , , ,Not Applicable,Not Applicable,Not Applicable,Not Applicable,4,Monroe Township Middlesex County,Cities,New Jersey,New Jersey,Monroe Township Middlesex County, , , , , , ,40.336419,-74.433047,2004
134,0101000020E6100000EE409DF2E88152C040A54A94BD1F4440,,0,0,0,3,2,1033, , , ,Not Applicable,Not Applicable,Not Applicable,Not Applicable,4,Ocean Township Monmouth County,Cities,New Jersey,New Jersey,"Ocean Township, Monmouth County", , , , , , ,40.247973,-74.029843,2004
139,0101000020E61000001F49490F43BF52C035D1E7A38C624440,,0,0,0,0,1,1104, , , ,Not Applicable,Not Applicable,Not Applicable,Not Applicable,4,Washington Township Warren County,Cities,New Jersey,New Jersey,Washington Township Warren County, , , , , , ,40.769917,-74.988468,2004
145,0101000020E6100000F9D7F2CAF53554C0622CD32F119D4140,,0,0,4,1,3,1152, , , ,Not Applicable,Not Applicable,Not Applicable,Not Applicable,4,Charlotte-mecklenburg,Cities,North Carolina,North Carolina,Charlotte-mecklenburg, , , , , , ,35.227087,-80.843127,2004
160,0101000020E6100000F2B56796043553C0287FF78E1A014440,,0,0,0,1,0,1281, , , ,Not Applicable,Not Applicable,Not Applicable,Not Applicable,4,Northern York Regional,Cities,Pennsylvania,Pennsylvania,Northern York Regional, , , , , , ,40.008623,-76.828405,2004
185,0101000020E6100000D00B772E8CE657C040C39B3578C73D40,,0,1,0,0,0,1422, , , ,Not Applicable,Not Applicable,Not Applicable,Not Applicable,4,Memorial Villages,Cities,Texas,Texas,Memorial Villages, , , , , , ,29.779178,-95.602306,2004
210,0101000020E610000024986A662D7053C00D350A4966A94340,,0,0,1,0,0,1537, , , ,Not Applicable,Not Applicable,Not Applicable,Not Applicable,3,Harpers Ferry-bolivar,Cities,West Virginia,West Virginia,Harpers Ferry-bolivar, , , , , , ,39.323434,-77.752771,2004
331,0101000020E6100000A393A5D6FBB457C0836E2F698CC44740,,0,0,0,1,0,2371, , , ,Not Applicable,Not Applicable,Not Applicable,Not Applicable,4,Lakes Area,Cities,Minnesota,Minnesota,Lakes Area, , , , , , ,47.535535,-94.827871,2005
