cartodb_id,the_geom,longitude,latitude,state,place_type,place_name,date,number_of_quarters,first_quarter,second_quarter,third_quarter,fourth_quarter,population
220,0101000020E610000088307E1AF7775DC02BDEC83CF2DF4040,-117.874457,33.74958,California,Cities,Santa Ana,2007,Not Applicable,0,0,0,0,340223
1,0101000020E6100000FFEA71DF6A0F5CC04FCB0F5CE5C94040,-112.240898,33.577312,Arizona,Cities,Peoria,2004,3,Not Applicable,Not Applicable,Not Applicable,Not Applicable,
218,0101000020E6100000B3EE1F0BD1BE5CC0FA42C879FF034240,-114.981509,36.031234,Nevada,Cities,Henderson,2007,Not Applicable,0,0,0,0,251270
2,0101000020E610000010255AF278175CC00A6AF816D6CF4040,-112.366757,33.623721,Arizona,Cities,Surprise,2004,4,Not Applicable,Not Applicable,Not Applicable,Not Applicable,
3,0101000020E6100000C3D5011077EC5DC0D540F33977694240,-119.694767,36.823951,California,Cities,Clovis,2004,4,Not Applicable,Not Applicable,Not Applicable,Not Applicable,
4,0101000020E61000003D7C9928429E5EC04DBF44BC75D84240,-122.472788,37.691093,California,Cities,Daly City,2004,4,Not Applicable,Not Applicable,Not Applicable,Not Applicable,
5,0101000020E6100000EB39E97DE35B5DC0E63E390A100D4140,-117.43576,34.102052,California,Cities,Fontana,2004,4,Not Applicable,Not Applicable,Not Applicable,Not Applicable,
6,0101000020E610000045662E7079855EC062BB7B80EED54240,-122.085537,37.671341,California,Cities,Hayward,2004,4,Not Applicable,Not Applicable,Not Applicable,Not Applicable,
7,0101000020E6100000DE54A4C2D8965DC033F9669B1BFB4040,-118.35698,33.96178,California,Cities,Inglewood,2004,4,Not Applicable,Not Applicable,Not Applicable,Not Applicable,
8,0101000020E6100000F3AD0FEB8D4D5DC04A09C1AA7AC74040,-117.211787,33.558431,California,Cities,Murrieta,2004,4,Not Applicable,Not Applicable,Not Applicable,Not Applicable,
9,0101000020E6100000B0E8D66B7A695DC0C0266BD443084140,-117.648097,34.06457,California,Cities,Ontario,2004,4,Not Applicable,Not Applicable,Not Applicable,Not Applicable,
10,0101000020E6100000849CF7FF71765DC091B75CFDD8E44040,-117.850708,33.787872,California,Cities,Orange,2004,4,Not Applicable,Not Applicable,Not Applicable,Not Applicable,
11,0101000020E6100000BF4868CBB9645DC07D923B6C220D4140,-117.57384,34.102613,California,Cities,Rancho Cucamonga,2004,4,Not Applicable,Not Applicable,Not Applicable,Not Applicable,
12,0101000020E610000060C8EA56CF1B5EC0B262B83A007A4140,-120.43453,34.953132,California,Cities,Santa Maria,2004,4,Not Applicable,Not Applicable,Not Applicable,Not Applicable,
13,0101000020E6100000272EC72B10A058C019726C3D43F44040,-98.500987,33.908302,Texas,Cities,Wichita Falls,2004,4,Not Applicable,Not Applicable,Not Applicable,Not Applicable,
14,0101000020E610000050340F60914958C06211C30E63923F40,-97.149498,31.571824,Texas,Cities,Waco,2004,4,Not Applicable,Not Applicable,Not Applicable,Not Applicable,
15,0101000020E6100000C022BF7E882658C0897D022846644040,-96.602081,32.783391,Texas,Cities,Mesquite,2004,4,Not Applicable,Not Applicable,Not Applicable,Not Applicable,
