,date,state,religion,sexual_orientation,disability,gender,gender_identity,race_corrected,est_pop,race_religion_ethnicity_enh_penalty,sexual_orientation_enh_penalty,gender_enh_penalty,gender_identity_enh_penalty,disability_enh_penalty,other_enh_penalty,civil_action_statute_present,data_collection_statute_present,police_training_statute_present,institutional_vandalism_statute_present,cross_burning_statute_present,all_count,race_corrected_per_capita,religion_per_capita,sexual_orientation_per_capita,disability_per_capita,gender_per_capita,gender_identity_per_capita,all_count_per_capita,Number of Participating Agencies,Population Covered,Agencies Submitting Incident Reports,Total Number of Incidents Reported,percent_of_population_covered
0,2015,Alabama,0.0,2.0,0.0,0.0,0.0,8.0,4858979.0,YES,NO,NO,NO,YES,NO,0.0,0.0,0.0,1.0,1.0,10.0,1.646436422137243e-06,0.0,4.1160910553431077e-07,0.0,0.0,0.0,2.058045527671554e-06,34,1252146.0,3,10,0.25769734752918255
1,2015,Alaska,0.0,1.0,0.0,0.0,,7.0,738432.0,YES,NO,YES,NO,YES,NO,0.0,0.0,0.0,0.0,0.0,8.0,9.479545848500607e-06,0.0,1.3542208355000867e-06,0.0,0.0,,1.0833766684000694e-05,33,734820.0,4,8,0.9951085543421737
2,2015,Arizona,52.0,57.0,5.0,0.0,0.0,162.0,6828065.0,YES,YES,YES,NO,YES,NO,0.0,1.0,1.0,1.0,1.0,276.0,2.3725608938989304e-05,7.615627560663232e-06,8.347899441496236e-06,7.322718808330031e-07,0.0,0.0,4.0421407821981776e-05,101,6622880.0,21,276,0.969949758826256
3,2015,Arkansas,0.0,2.0,0.0,0.0,0.0,3.0,2978204.0,NO,NO,NO,NO,NO,NO,1.0,0.0,0.0,1.0,0.0,5.0,1.0073185047095498e-06,0.0,6.715456698063665e-07,0.0,0.0,0.0,1.6788641745159163e-06,279,2754543.0,4,5,0.9249007119727192
4,2015,California,191.0,188.0,4.0,1.0,26.0,427.0,39144818.0,YES,YES,YES,YES,YES,YES,1.0,1.0,1.0,1.0,1.0,837.0,1.0908212678367796e-05,4.879317614913933e-06,4.802679118344604e-06,1.021846620924384e-07,2.55461655231096e-08,6.642003036008497e-07,2.1382140542842734e-05,730,39137326.0,213,837,0.9998086081279008
5,2015,Colorado,16.0,20.0,3.0,0.0,3.0,65.0,5456574.0,YES,YES,NO,YES,YES,YES,1.0,0.0,0.0,1.0,0.0,107.0,1.1912236505910119e-05,2.9322428322240288e-06,3.6653035402800367e-06,5.497955310420054e-07,0.0,5.497955310420054e-07,1.96093739404982e-05,234,5445853.0,42,107,0.9980352140372328
6,2015,Connecticut,19.0,9.0,4.0,0.0,0.0,62.0,3590886.0,YES,YES,YES,YES,YES,NO,1.0,1.0,1.0,1.0,1.0,94.0,1.726593381132122e-05,5.2911732647597266e-06,2.5063452306756604e-06,1.1139312136336269e-06,0.0,0.0,2.6177383520390234e-05,95,3399068.0,44,93,0.9465819856158062
7,2015,Delaware,2.0,0.0,0.0,0.0,0.0,9.0,945934.0,YES,YES,YES,YES,YES,NO,0.0,0.0,0.0,1.0,1.0,11.0,9.514405867639812e-06,2.1143124150310697e-06,0.0,0.0,0.0,0.0,1.1628718282670885e-05,60,945934.0,7,11,1.0
8,2015,DC,5.0,27.0,0.0,0.0,10.0,23.0,672228.0,YES,YES,YES,YES,YES,YES,1.0,1.0,0.0,1.0,1.0,65.0,3.42145819573121e-05,7.437952599415674e-06,4.0164944036844645e-05,0.0,0.0,1.4875905198831348e-05,9.669338379240376e-05,2,672228.0,2,65,1.0
9,2015,Florida,13.0,14.0,0.0,0.0,1.0,44.0,20271272.0,YES,YES,NO,NO,YES,YES,1.0,1.0,0.0,1.0,1.0,72.0,2.1705594005151728e-06,6.413016410613011e-07,6.906325365275549e-07,0.0,0.0,4.933089546625392e-08,3.551824473570282e-06,38,5356877.0,36,72,0.2642595393125799
10,2015,Georgia,5.0,7.0,0.0,0.0,0.0,32.0,10214860.0,NO,NO,NO,NO,NO,NO,0.0,0.0,0.0,1.0,1.0,44.0,3.132691001149306e-06,4.894829689295789e-07,6.852761565014107e-07,0.0,0.0,0.0,4.307450126580297e-06,473,7991234.0,7,44,0.7823145887461992
11,2015,Idaho,12.0,6.0,2.0,0.0,0.0,14.0,1654930.0,YES,NO,NO,NO,NO,NO,1.0,1.0,0.0,1.0,1.0,34.0,8.459572308194304e-06,7.251061978452261e-06,3.6255309892261306e-06,1.2085103297420437e-06,0.0,0.0,2.054467560561474e-05,112,1654475.0,19,34,0.9997250638999837
12,2015,Illinois,12.0,16.0,0.0,1.0,2.0,59.0,12859995.0,YES,YES,YES,YES,YES,NO,1.0,1.0,1.0,1.0,1.0,90.0,4.587871146139637e-06,9.331263348080616e-07,1.2441684464107491e-06,0.0,7.776052790067182e-08,1.555210558013436e-07,6.998447511060463e-06,741,12501008.0,43,90,0.9720849813705216
13,2015,Indiana,9.0,14.0,0.0,1.0,0.0,43.0,6619680.0,NO,NO,NO,NO,NO,NO,0.0,1.0,0.0,1.0,0.0,67.0,6.4957822734633695e-06,1.3595823363062866e-06,2.114905856476446e-06,0.0,1.5106470403403185e-07,0.0,1.0121335170280133e-05,168,3224755.0,18,63,0.4871466596572644
