,date,state,religion,sexual_orientation,disability,gender,gender_identity,race_corrected,est_pop,race_religion_ethnicity_enh_penalty,sexual_orientation_enh_penalty,gender_enh_penalty,gender_identity_enh_penalty,disability_enh_penalty,other_enh_penalty,all_count,race_corrected_per_capita,religion_per_capita,sexual_orientation_per_capita,disability_per_capita,gender_per_capita,gender_identity_per_capita,all_count_per_capita
0,2015,Alabama,0,2,0,0.0,0.0,8.0,4858979,YES,NO,NO,NO,YES,NO,10.0,1.6464364221372433e-06,0.0,4.116091055343108e-07,0.0,0.0,0.0,2.058045527671554e-06
1,2015,Alaska,0,1,0,0.0,,7.0,738432,YES,NO,YES,NO,YES,NO,8.0,9.479545848500607e-06,0.0,1.3542208355000867e-06,0.0,0.0,,1.0833766684000694e-05
2,2015,Arizona,52,57,5,0.0,0.0,162.0,6828065,YES,YES,YES,NO,YES,NO,276.0,2.3725608938989304e-05,7.615627560663233e-06,8.347899441496236e-06,7.322718808330032e-07,0.0,0.0,4.0421407821981776e-05
3,2015,Arkansas,0,2,0,0.0,0.0,3.0,2978204,NO,NO,NO,NO,NO,NO,5.0,1.0073185047095498e-06,0.0,6.715456698063665e-07,0.0,0.0,0.0,1.6788641745159163e-06
4,2015,California,191,188,4,1.0,26.0,427.0,39144818,YES,YES,YES,YES,YES,YES,837.0,1.0908212678367797e-05,4.879317614913933e-06,4.802679118344604e-06,1.0218466209243839e-07,2.5546165523109597e-08,6.642003036008496e-07,2.1382140542842734e-05
5,2015,Colorado,16,20,3,0.0,3.0,65.0,5456574,YES,YES,NO,YES,YES,YES,107.0,1.1912236505910119e-05,2.932242832224029e-06,3.6653035402800367e-06,5.497955310420055e-07,0.0,5.497955310420055e-07,1.9609373940498197e-05
6,2015,Connecticut,19,9,4,0.0,0.0,62.0,3590886,YES,YES,YES,YES,YES,NO,94.0,1.726593381132122e-05,5.291173264759727e-06,2.5063452306756604e-06,1.1139312136336269e-06,0.0,0.0,2.6177383520390234e-05
7,2015,Delaware,2,0,0,0.0,0.0,9.0,945934,YES,YES,YES,YES,YES,NO,11.0,9.514405867639814e-06,2.1143124150310697e-06,0.0,0.0,0.0,0.0,1.1628718282670883e-05
8,2015,DC,5,27,0,0.0,10.0,23.0,672228,YES,YES,YES,YES,YES,YES,65.0,3.42145819573121e-05,7.437952599415674e-06,4.0164944036844645e-05,0.0,0.0,1.4875905198831348e-05,9.669338379240377e-05
9,2015,Florida,13,14,0,0.0,1.0,44.0,20271272,YES,YES,NO,NO,YES,YES,72.0,2.1705594005151723e-06,6.41301641061301e-07,6.906325365275549e-07,0.0,0.0,4.933089546625392e-08,3.551824473570282e-06
10,2015,Georgia,5,7,0,0.0,0.0,32.0,10214860,NO,NO,NO,NO,NO,NO,44.0,3.132691001149306e-06,4.89482968929579e-07,6.852761565014107e-07,0.0,0.0,0.0,4.307450126580296e-06
11,2015,Idaho,12,6,2,0.0,0.0,14.0,1654930,YES,NO,NO,NO,NO,NO,34.0,8.459572308194304e-06,7.251061978452261e-06,3.6255309892261306e-06,1.2085103297420435e-06,0.0,0.0,2.054467560561474e-05
12,2015,Illinois,12,16,0,1.0,2.0,59.0,12859995,YES,YES,YES,YES,YES,NO,90.0,4.587871146139637e-06,9.331263348080617e-07,1.244168446410749e-06,0.0,7.776052790067181e-08,1.5552105580134361e-07,6.998447511060463e-06
13,2015,Indiana,9,14,0,1.0,0.0,43.0,6619680,NO,NO,NO,NO,NO,NO,67.0,6.4957822734633695e-06,1.3595823363062866e-06,2.114905856476446e-06,0.0,1.5106470403403185e-07,0.0,1.0121335170280134e-05
14,2015,Iowa,1,1,1,0.0,0.0,3.0,3123899,YES,YES,YES,NO,YES,YES,6.0,9.603383464062058e-07,3.2011278213540193e-07,3.2011278213540193e-07,3.2011278213540193e-07,0.0,0.0,1.9206766928124116e-06
15,2015,Kansas,8,8,0,1.0,0.0,46.0,2911641,YES,YES,NO,NO,NO,NO,63.0,1.579865100127385e-05,2.747591478482409e-06,2.747591478482409e-06,0.0,3.434489348103011e-07,0.0,2.1637282893048972e-05
16,2015,Kentucky,53,19,2,0.0,1.0,113.0,4425092,YES,YES,NO,NO,NO,NO,188.0,2.5536192241878812e-05,1.1977152113447585e-05,4.293696040669889e-06,4.5196800428104093e-07,0.0,2.2598400214052046e-07,4.248499240241785e-05
17,2015,Louisiana,11,5,0,0.0,0.0,22.0,4670724,YES,YES,YES,NO,YES,YES,38.0,4.710190540053319e-06,2.3550952700266596e-06,1.070497850012118e-06,0.0,0.0,0.0,8.135783660092098e-06
18,2015,Maine,9,13,0,0.0,0.0,16.0,1329328,YES,YES,YES,NO,YES,YES,38.0,1.2036156614469868e-05,6.770338095639301e-06,9.779377249256767e-06,0.0,0.0,0.0,2.8585871959365936e-05
19,2015,Maryland,14,7,0,0.0,0.0,22.0,6006401,YES,YES,YES,YES,YES,NO,43.0,3.662759113152785e-06,2.330846708369954e-06,1.165423354184977e-06,0.0,0.0,0.0,7.1590291757077156e-06
20,2015,Massachusetts,81,81,4,15.0,45.0,198.0,6794422,YES,YES,NO,YES,YES,NO,424.0,2.9141551702264003e-05,1.1921543878198912e-05,1.1921543878198912e-05,5.887182162073536e-07,2.207693310777576e-06,6.623079932332728e-06,6.240413091797948e-05
21,2015,Michigan,48,51,11,1.0,0.0,198.0,9922576,YES,NO,YES,NO,NO,NO,309.0,1.9954495687410205e-05,4.837453499978231e-06,5.139794343726871e-06,1.1085830937450115e-06,1.0078028124954649e-07,0.0,3.1141106906109865e-05
22,2015,Minnesota,20,31,0,0.0,0.0,58.0,5489594,YES,YES,YES,YES,YES,YES,109.0,1.0565444366195387e-05,3.6432566779984094e-06,5.647047850897535e-06,0.0,0.0,0.0,1.985574889509133e-05
23,2015,Missouri,19,8,1,0.0,2.0,70.0,6083672,YES,YES,YES,YES,YES,NO,100.0,1.150620875024163e-05,3.123113803637014e-06,1.3149952857419005e-06,1.6437441071773757e-07,0.0,3.2874882143547514e-07,1.643744107177376e-05
24,2015,Montana,14,2,1,0.0,0.0,28.0,1032949,YES,NO,NO,NO,NO,NO,45.0,2.7106856195223577e-05,1.3553428097611788e-05,1.9362040139445415e-06,9.681020069722708e-07,0.0,0.0,4.356459031375218e-05
25,2015,Nebraska,1,7,0,0.0,1.0,10.0,1896190,YES,YES,YES,NO,YES,YES,19.0,5.273733117461858e-06,5.273733117461858e-07,3.6916131822233004e-06,0.0,0.0,5.273733117461858e-07,1.002009292317753e-05
26,2015,Nevada,5,17,0,0.0,0.0,36.0,2890845,YES,YES,YES,YES,YES,YES,58.0,1.2453106271695646e-05,1.729598093291062e-06,5.8806335171896104e-06,0.0,0.0,0.0,2.006333788217632e-05
27,2015,New Hampshire,3,2,0,0.0,0.0,8.0,1330608,YES,YES,YES,NO,YES,YES,13.0,6.012289118959153e-06,2.254608419609682e-06,1.5030722797397882e-06,0.0,0.0,0.0,9.769969818308623e-06
28,2015,New Jersey,125,33,3,0.0,0.0,169.0,8958013,YES,YES,YES,YES,YES,NO,330.0,1.8865790884652656e-05,1.3953987340719421e-05,3.6838526579499272e-06,3.348956961772661e-07,0.0,0.0,3.683852657949927e-05
29,2015,New Mexico,2,3,0,0.0,0.0,8.0,2085109,YES,YES,YES,YES,YES,YES,13.0,3.83672987839005e-06,9.591824695975126e-07,1.438773704396269e-06,0.0,0.0,0.0,6.2346860523838326e-06
30,2015,New York,256,104,1,0.0,3.0,136.0,19795791,YES,YES,YES,NO,YES,YES,500.0,6.870147295452857e-06,1.2932041967911259e-05,5.253642049463949e-06,5.0515788937153354e-08,0.0,1.5154736681146008e-07,2.525789446857668e-05
31,2015,North Carolina,17,37,2,0.0,0.0,106.0,10042802,YES,NO,YES,NO,NO,NO,162.0,1.0554823245544422e-05,1.6927546714552373e-06,3.6842307555202223e-06,1.991476084064985e-07,0.0,0.0,1.613095628092638e-05
32,2015,North Dakota,3,4,0,0.0,0.0,29.0,756927,YES,NO,YES,NO,NO,NO,36.0,3.831280955759274e-05,3.963394092164766e-06,5.284525456219688e-06,0.0,0.0,0.0,4.75607291059772e-05
33,2015,Ohio,39,58,10,0.0,0.0,309.0,11613423,YES,NO,NO,NO,NO,NO,416.0,2.660714244198287e-05,3.358183026658032e-06,4.99422091144015e-06,8.610725709379569e-07,0.0,0.0,3.5820618951019004e-05
34,2015,Oklahoma,3,7,0,0.0,0.0,27.0,3911338,YES,NO,NO,NO,YES,NO,37.0,6.903008637964809e-06,7.670009597738676e-07,1.7896689061390246e-06,0.0,0.0,0.0,9.459678503877701e-06
35,2015,Oregon,9,11,5,0.0,0.0,41.0,4028977,YES,YES,YES,YES,YES,NO,66.0,1.0176280480131805e-05,2.233817666370396e-06,2.730221592230484e-06,1.24100981465022e-06,0.0,0.0,1.6381329553382906e-05
36,2015,Pennsylvania,12,11,0,0.0,1.0,40.0,12802503,YES,NO,NO,NO,NO,NO,64.0,3.124389035487826e-06,9.373167106463478e-07,8.592069847591522e-07,0.0,0.0,7.810972588719565e-08,4.9990224567805214e-06
37,2015,Rhode Island,7,5,0,0.0,0.0,6.0,1056298,YES,YES,YES,NO,YES,NO,18.0,5.680215242289581e-06,6.626917782671178e-06,4.7335127019079845e-06,0.0,0.0,0.0,1.7040645726868744e-05
38,2015,South Carolina,2,7,2,0.0,0.0,44.0,4896146,NO,NO,NO,NO,NO,NO,55.0,8.98666012002093e-06,4.084845509100423e-07,1.4296959281851482e-06,4.084845509100423e-07,0.0,0.0,1.1233325150026164e-05
39,2015,South Dakota,2,5,0,0.0,0.0,9.0,858469,YES,NO,NO,NO,NO,NO,16.0,1.0483779845282707e-05,2.3297288545072683e-06,5.824322136268171e-06,0.0,0.0,0.0,1.8637830836058146e-05
40,2015,Tennessee,28,26,5,1.0,4.0,157.0,6600299,YES,YES,YES,NO,YES,YES,221.0,2.3786801173704404e-05,4.242232056456836e-06,3.939215480995634e-06,7.575414386530065e-07,1.515082877306013e-07,6.060331509224052e-07,3.348333158846289e-05
